wine,category,vintage,price,location,quantity
Louis Roederer Cristal 2014,Champagne & Sparkling,2014,415,Wine Fridge Port,1
Krug Vintage 2018,Champagne & Sparkling,2018,405,Main Cellar A1,1
Taittinger Comtes de Champagne 2002,Champagne & Sparkling,2002,690,Main Cellar B3,1
Krug Vintage 2014,Champagne & Sparkling,2014,590,Main Cellar A1,1
Veuve Clicquot La Grande Dame 2009,Champagne & Sparkling,2009,310,Main Cellar A1,1
Veuve Clicquot La Grande Dame 2014,Champagne & Sparkling,2014,300,Main Cellar A1,1
Salon Le Mesnil Blanc de Blancs 2016,Champagne & Sparkling,2016,585,Main Cellar B1,1
Taittinger Comtes de Champagne 2018,Champagne & Sparkling,2018,345,Guest Pantry 1,1
Taittinger Comtes de Champagne 2019,Champagne & Sparkling,2019,595,Main Cellar B3,1
Louis Roederer Cristal 2016,Champagne & Sparkling,2016,795,Main Cellar A2,1
Veuve Clicquot La Grande Dame 2018,Champagne & Sparkling,2018,560,Fridge 1,1
Louis Roederer Cristal 2018,Champagne & Sparkling,2018,890,Fridge 2,1
Louis Roederer Cristal 2009,Champagne & Sparkling,2009,560,Main Cellar B3,1
Krug Vintage 2010,Champagne & Sparkling,2010,235,Wine Fridge Port,1
Pol Roger Sir Winston Churchill 2006,Champagne & Sparkling,2006,255,Main Cellar A2,1
Krug Vintage 2014,Champagne & Sparkling,2014,565,Main Cellar B1,1
Louis Roederer Cristal 2015,Champagne & Sparkling,2015,165,Main Cellar A2,1
Taittinger Comtes de Champagne 2012,Champagne & Sparkling,2012,795,Guest Pantry 2,1
Louis Roederer Cristal 2015,Champagne & Sparkling,2015,300,Main Cellar A2,1
Dom Pérignon 2011,Champagne & Sparkling,2011,365,Main Cellar A2,1
Krug Grande Cuvée 2019,Champagne & Sparkling,2019,370,Fridge 2,1
Dom Pérignon 2014,Champagne & Sparkling,2014,800,Guest Pantry 2,1
Krug Grande Cuvée 2012,Champagne & Sparkling,2012,520,Main Cellar A1,1
Salon Le Mesnil Blanc de Blancs 2010,Champagne & Sparkling,2010,565,Main Cellar B1,1
Salon Le Mesnil Blanc de Blancs 2014,Champagne & Sparkling,2014,730,Main Cellar B1,1
Pol Roger Sir Winston Churchill 2016,Champagne & Sparkling,2016,355,Guest Pantry 1,1
Krug Clos du Mesnil 2014,Champagne & Sparkling,2014,590,Fridge 1,1
Louis Roederer Cristal 2014,Champagne & Sparkling,2014,355,Main Cellar B3,1
Krug Clos du Mesnil 2008,Champagne & Sparkling,2008,680,Main Cellar A1,1
Pol Roger Sir Winston Churchill 2018,Champagne & Sparkling,2018,790,Main Cellar B1,1
Dom Pérignon 2002,Champagne & Sparkling,2002,645,Wine Fridge Starboard,1
Veuve Clicquot La Grande Dame 2008,Champagne & Sparkling,2008,720,Wine Fridge Port,1
Veuve Clicquot La Grande Dame 2019,Champagne & Sparkling,2019,450,Wine Fridge Port,1
Bollinger La Grande Année 2014,Champagne & Sparkling,2014,280,Fridge 1,1
Krug Vintage 2019,Champagne & Sparkling,2019,365,Main Cellar B3,1
Pol Roger Sir Winston Churchill 2005,Champagne & Sparkling,2005,550,Guest Pantry 2,1
Veuve Clicquot La Grande Dame 2005,Champagne & Sparkling,2005,595,Main Cellar A2,1
Louis Roederer Cristal 2002,Champagne & Sparkling,2002,460,Main Cellar A2,1
Salon Le Mesnil Blanc de Blancs 2014,Champagne & Sparkling,2014,565,Guest Pantry 2,1
Veuve Clicquot La Grande Dame 2015,Champagne & Sparkling,2015,610,Main Cellar A2,1
Krug Vintage 2015,Champagne & Sparkling,2015,315,Main Cellar B1,1
Krug Vintage 2012,Champagne & Sparkling,2012,485,Guest Pantry 1,1
Pol Roger Sir Winston Churchill 2022,Champagne & Sparkling,2022,485,Wine Fridge Port,1
Louis Roederer Cristal 2000,Champagne & Sparkling,2000,500,Wine Fridge Port,1
Krug Grande Cuvée 2016,Champagne & Sparkling,2016,380,Main Cellar A2,1
Dom Pérignon 2012,Champagne & Sparkling,2012,860,Main Cellar B1,1
Louis Roederer Cristal 2009,Champagne & Sparkling,2009,220,Guest Pantry 2,1
Salon Le Mesnil Blanc de Blancs 2009,Champagne & Sparkling,2009,390,Main Cellar B3,1
Bollinger La Grande Année 2009,Champagne & Sparkling,2009,545,Main Cellar A1,1
Krug Grande Cuvée 2010,Champagne & Sparkling,2010,765,Fridge 2,1
Dom Pérignon 2002,Champagne & Sparkling,2002,335,Guest Pantry 2,1
